CODIGO DE PRODUCTO,CODIGO DE CLASE,DESCRPCION DE PRODUCTO
10201811-,102018,10201811-ROSAL VIVO SWEET GREEN
10201812-,102018,10201812-ROSAL VIVO VIVA
10201813-,102018,10201813-ROSAL VIVO ZAZU
1020191-,102019,10201901-ROSAL VIVO ANNA
1020192-,102019,10201902-ROSAL VIVO BELLA VITA
1020193-,102019,10201903-ROSAL VIVO BRIDAL DREAM
1020194-,102019,10201904-ROSAL VIVO CANDY BIANCA
1020195-,102019,10201905-ROSAL VIVO CARESS
1020196-,102019,10201906-ROSAL VIVO CAROLINA 
1020197-,102019,10201907-ROSAL VIVO CLIMAX 
1020198-,102019,10201908-ROSAL VIVO DANNY 
1020199-,102019,10201909-ROSAL VIVO DOLCE VITA 
10201910-,102019,10201910-ROSAL VIVO ELITE
10201911-,102019,10201911-ROSAL VIVO EMMA
10201912-,102019,10201912-ROSAL VIVO ENGAGEMENT
10201913-,102019,10201913-ROSAL VIVO ESTHER
10201914-,102019,10201914-ROSAL VIVO EXCALIBUR
10201915-,102019,10201915-ROSAL VIVO EXCITING
10201916-,102019,10201916-ROSAL VIVO FIRST LADY
10201917-,102019,10201917-ROSAL VIVO GERALDINE
10201918-,102019,10201918-ROSAL VIVO GOTCHA
10201919-,102019,10201919-ROSAL VIVO HARMONIE
10201920-,102019,10201920-ROSAL VIVO HEAVEN
10201921-,102019,10201921-ROSAL VIVO HIGH AND ELEGANT
10201922-,102019,10201922-ROSAL VIVO KATHERINE
10201923-,102019,10201923-ROSAL VIVO KING KONG
10201924-,102019,10201924-ROSAL VIVO LIVIA
10201925-,102019,10201925-ROSAL VIVO LORENA
10201926-,102019,10201926-ROSAL VIVO LOVELY
10201927-,102019,10201927-ROSAL VIVO MAAIKE
10201928-,102019,10201928-ROSAL VIVO MARILYN
10201929-,102019,10201929-ROSAL VIVO MARLISE
10201930-,102019,10201930-ROSAL VIVO MIRANDA O AUSIMMON
10201931-,102019,10201931-ROSAL VIVO MONA LISA
10201932-,102019,10201932-ROSAL VIVO NIRVANA
10201933-,102019,10201933-ROSAL VIVO O HARA
10201934-,102019,10201934-ROSAL VIVO OLE
10201935-,102019,10201935-ROSAL VIVO OLGA
10201936-,102019,10201936-ROSAL VIVO PACÍFICA
10201937-,102019,10201937-ROSAL VIVO PARTY MIX
10201938-,102019,10201938-ROSAL VIVO PECKOUBO O PEKCOUBO
10201939-,102019,10201939-ROSAL VIVO PHOEBE O AUSNOTICE
10201940-,102019,10201940-ROSAL VIVO PINK FARFALLA
10201941-,102019,10201941-ROSAL VIVO PINK FINESS
10201942-,102019,10201942-ROSAL VIVO PINK MAGIC
10201943-,102019,10201943-ROSAL VIVO PINK OSIANA
10201944-,102019,10201944-ROSAL VIVO PRETTY WOMAN
10201945-,102019,10201945-ROSAL VIVO ROMANCE
10201946-,102019,10201946-ROSAL VIVO ROMANTIC ANTIKE O ANTIQUE
10201947-,102019,10201947-ROSAL VIVO ROSALIND O ASTEW
10201948-,102019,10201948-ROSAL VIVO ROSITA VENDELA
10201949-,102019,10201949-ROSAL VIVO SECRET GARDEN
10201950-,102019,10201950-ROSAL VIVO SOLAIRE
10201951-,102019,10201951-ROSAL VIVO SOPHIE
10201952-,102019,10201952-ROSAL VIVO SWEET AKITO
10201953-,102019,10201953-ROSAL VIVO SWEET AVALANCHE
10201954-,102019,10201954-ROSAL VIVO SWEET ELEGANCE
10201955-,102019,10201955-ROSAL VIVO SWEET PINK
10201956-,102019,10201956-ROSAL VIVO TITANIC
10201957-,102019,10201957-ROSAL VIVO TOSCANINI
10201958-,102019,10201958-ROSAL VIVO VANIA
10201959-,102019,10201959-ROSAL VIVO VANITY
10201960-,102019,10201960-ROSAL VIVO VISION
10201961-,102019,10201961-ROSAL VIVO VIVALDI
10201962-,102019,10201962-ROSAL VIVO WHISPER
1020201-,102020,10202001-ROSAL VIVO ATTRACTA
1020202-,102020,10202002-ROSAL VIVO BOHEME
1020203-,102020,10202003-ROSAL VIVO CAROUSEL
1020204-,102020,10202004-ROSAL VIVO CEZANNE
1020205-,102020,10202005-ROSAL VIVO CRAZY ONE
1020206-,102020,10202006-ROSAL VIVO DANCE VALLEY
1020207-,102020,10202007-ROSAL VIVO DUETT
1020208-,102020,10202008-ROSAL VIVO ESPERANCE
1020209-,102020,10202009-ROSAL VIVO FIESTA
10202010-,102020,10202010-ROSAL VIVO HALLOWEEN
10202011-,102020,10202011-ROSAL VIVO HIGHLANDER
10202012-,102020,10202012-ROSAL VIVO HOT AMBIANCE
10202013-,102020,10202013-ROSAL VIVO LA BELLE
